Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Fahad Waad,Al Wakrah,Al Wakrah,LB,26,175000,10,1045,9.9,50.43,right,0,6.72,6.2,55.56,0.6,71.43,0.26,0.17,3.01,5.12,0.78,2.15,0,0,0.01,0,0.17,50,0,0.09,2.76,62.5,0.6,57.14,1.72,35,0.52,0.95,0.17,20.93,2.07,0.26,28.85,79.1,8.27,65.63,83.64,2.67,51.61,0.16,1.12,0,0.09,0.09,0.78,2.93,55.88,3.44,62.5,0.26,33.33,0.95,1.46,7.49,70.11,0.43,0.09,0,0.43,0,0
Khalifa Ababacar,Al Gharafa,Al Gharafa,GK,36,100000,10,1040,0.43,80,right,203,1.9,0.09,0,0.26,100,0,0,1.9,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0.09,0.17,12.46,88.19,7.1,80.49,95.88,4.07,72.34,0,0,0,0,0,0,1.04,66.67,0,0,0.09,0,0,0,2.94,70.59,,,,0,0,0
Róger Guedes,Al Rayyan,Al Rayyan,"AMF, CF, LAMF",29,10000000,10,1039,10.83,43.2,right,182,1.65,0.61,42.86,1.73,40,0,0.09,1.39,2.11,0.69,3.81,1.04,0.69,0.72,0.09,3.46,60,30,0.09,0.87,40,2.43,57.14,7.02,48.15,3.72,2.69,0.35,19.66,0.95,1.47,24.69,80.7,9.18,73.58,84.55,2.51,62.07,0.05,0.61,0,0,0,0.26,4.5,71.15,1.3,80,0.17,0,0.87,0.26,3.98,80.43,0.43,0.26,33.33,0.87,4,100
Ali Nader,Qatar SC,Qatar SC,GK,21,0,10,1037,0.78,88.89,right,0,2.52,0.17,50,0.43,100,0,0,2.43,3.65,0,0.09,0,0,0,0,0,0,0,0,0,0,0.09,100,0.09,100,0,0,0,8.16,0.43,0.35,13.54,85.9,7.2,75.9,98.02,4.77,63.64,0,0,0,0,0,0,0.78,22.22,0.09,0,0,0,0,0,3.47,72.5,,,,0,0,0
Joăo Pedro,Qatar SC,Qatar SC,CF,32,5500000,10,1037,22.57,36.15,right,182,3.04,2.17,60,4.17,29.17,0.09,0.09,1.65,2.48,1.3,3.04,0.61,0.43,0.45,0,3.04,45.71,20,0,0.52,0,2.95,55.88,12.93,36.91,3.3,1.3,0.26,12.15,1.65,2.17,18.31,73.93,3.47,57.5,76.65,0.69,62.5,0.02,0.43,0,0,0.09,0.17,1.48,64.71,1.04,58.33,0.09,0,0.61,0,2.08,70.83,0.09,0.09,0,0,2,100
O. Tannane,Umm Salal,Umm Salal,"AMF, CF, RCMF",31,1700000,10,1027,20.51,42.31,left,178,4.12,5.08,51.72,1.67,10.53,0.26,0.09,1.23,1.49,2.1,3.15,0.53,0.44,0.2,0,2.8,40.63,18.75,0.35,0.96,18.18,3.86,43.18,11.92,43.38,1.23,2.19,0.53,23.31,1.05,2.98,29.97,77.19,10.25,74.36,81.08,3.07,62.86,0.23,2.02,0,0,0.18,0.53,5,73.68,2.28,46.15,0.35,50,0.79,0.18,4.56,75,3.33,1.05,50,3.24,1,100
Akram Afif,Al Sadd,Al Sadd,"LAMF, LW, CF",29,6000000,10,1027,9.9,53.1,right,177,2.02,1.23,64.29,0.44,40,0.26,0,0.96,1.62,0.18,5,0.53,0.53,0.27,0,1.93,50,27.273,0.53,2.54,58.62,4.03,58.7,7.01,55,4.82,4.56,0.61,30.5,2.8,1.4,37.16,80.66,9.73,79.28,83.06,2.72,74.19,0.48,3.59,0.18,0.18,0.35,1.58,4.38,70,4.21,70.83,0.09,100,2.98,1.23,6.92,91.14,0.61,0.09,0,4.03,0,0
Y. Brahimi,Al Gharafa,Al Gharafa,"LW, LWF, LAMF",35,2800000,10,1027,26.64,49.67,right,175,2.98,2.54,65.52,0.53,33.33,0.09,0.09,1.23,1.86,0.53,8.06,0.44,0.18,0.45,0,2.45,50,17.857,0.53,2.98,26.47,9.64,61.82,22.17,49.41,3.15,7.45,0.18,22.78,1.75,2.45,31.11,78.87,8.59,72.45,85.62,2.02,69.57,0.23,1.67,0.09,0,0.26,0.09,5.35,73.77,3.07,51.43,0.26,33.33,1.14,0.79,5.52,82.54,2.19,0.44,60,3.51,3,100
Diogo Amaro,Al Sailiya,Al Sailiya,"RDMF, RCMF",21,0,10,1024,10.72,59.02,right,186,9.32,4.83,58.18,2.46,64.29,0.26,0.62,6.24,7.17,0.97,0.62,0.18,0.18,0.08,0.09,0.26,66.67,66.667,0.09,0.18,100,0.35,50,2.64,60,0.44,0.88,0,16.88,0.62,1.05,32.08,84.38,12.74,72.41,86.45,2.72,61.29,0.06,0.26,0.09,0,0.18,0.18,5.27,71.67,0.35,100,0.44,20,0.26,0.18,6.15,74.29,0,0,0,0,0,0
Fahad Younis,Al Sailiya,Al Sailiya,GK,31,500000,10,1024,0.53,100,right,181,1.41,0.09,100,0.44,100,0,0.09,1.32,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0.09,0.09,8,71.43,4.83,52.73,93.33,4.04,50,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,2.99,55.88,,,,0,0,0
Saoud Al Khater,Al Wakrah,Al Wakrah,GK,34,250000,10,1019,0.71,87.5,right,177,2.47,0.26,66.67,0.18,100,0,0,2.3,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,0,0,0,8.74,0.18,0.26,14.66,84.94,8.66,76.53,98.88,6.8,68.83,0,0,0,0,0,0,1.32,40,0.09,0,0.09,0,0,0,5.21,77.97,,,,0,0,0
B. Seck,Al Shamal,Al Shamal,GK,30,0,10,1014,0.36,75,,0,1.24,0,0,0.36,75,0,0,1.24,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,11.36,0.36,0,17.13,76.17,9.94,62.5,95.5,7.28,50,0,0,0,0,0,0,2.66,36.67,0.09,0,0.09,0,0,0,4.7,62.26,,,,0,0,0
K. Pi?tek,Al Duhail,Al Duhail,CF,30,6000000,10,1002,12.93,38.89,right,183,1.44,1.89,33.33,4.13,50,0,0.18,0.81,1.41,1.53,1.89,0.54,0.36,0.63,0.09,2.78,35.48,19.355,0.09,0.99,27.27,0.81,77.78,4.13,34.78,5.93,0.27,0.09,11.59,1.17,0.99,13.56,78.81,2.25,72,82.22,0.72,75,0.05,0.72,0.18,0,0.09,0.27,1.17,92.31,0.36,0,0.09,0,0.81,0.18,0.9,70,0,0,0,0,3,66.667
Ayoub Al Ouwi,Al Gharafa,Al Gharafa,"RB, RCB",20,0,10,1002,12.66,50.35,right,187,7.37,6.47,54.17,1.98,54.55,0.36,0.9,3.5,5.39,1.44,0.63,0,0,0.01,0,0.18,0,0,0,0.72,12.5,0.81,66.67,2.6,41.38,0.27,0.54,0.09,22.1,1.26,0.45,30.9,82.27,11.95,72.18,88.41,3.14,42.86,0.02,0.18,0,0,0,0,3.95,65.91,0.99,45.45,0,0,0.36,0.09,6.02,71.64,0,0,0,0,0,0
J. Draxler,Al Ahli,Al Ahli,"CF, LW, LAMF",32,4000000,10,998,16.23,45,right,185,3.52,2.53,60.71,3.25,50,0.09,0.09,1.89,2.8,0.81,3.34,0.36,0.18,0.26,0,1.35,73.33,26.667,0.18,0.99,18.18,3.7,51.22,8.57,37.89,2.43,1.8,0.09,28.41,2.16,0.81,36.52,85.43,5.5,63.93,89.22,2.34,50,0.15,1.35,0,0,0.27,0.54,3.61,70,1.71,68.42,0.72,25,1.8,0.18,2.53,89.29,0.27,0.27,66.67,0.99,2,100
M. Nani,Al Sailiya,Al Sailiya,LCB,27,650000,10,990,11.64,63.28,left,189,8.73,4.82,60.38,3.64,67.5,0.18,0.73,5.64,6.41,1,0,0,0,0.02,0,0.09,0,0,0.09,0,0,0.09,0,1.18,53.85,0.18,0,0,16,0.18,0.73,27.27,78.33,15.36,66.27,86.73,8.09,58.43,0,0.09,0,0,0,0,4.45,48.98,0.45,20,0.36,0,0,0,7.91,64.37,0,0,0,0,0,0
Shehab Ellethy,Al Shahaniya,Al Shahaniya,GK,25,250000,10,988,0.36,75,left,180,1.37,0.18,50,0.09,100,0,0,1.28,1.69,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,11.48,0.18,0,16.4,89.44,6.74,77.03,99.26,4.1,60,0,0,0,0,0,0,0.55,50,0,0,0,0,0.09,0,2.82,61.29,,,,0,0,0
F. Sassi,Al Gharafa,Al Gharafa,"RCMF, AMF, RWB",33,1500000,10,982,21.26,49.14,right,185,9.07,8.07,63.64,3.57,35.9,0.55,0.37,3.39,5.24,1.65,1.1,0.18,0.18,0.17,0.18,1.74,21.05,10.526,0.09,0.37,25,1.1,50,6.6,40.28,1.83,0.46,0,29.33,0.46,1.01,41.98,88.43,12.19,83.46,90.24,3.12,73.53,0.06,0.55,0,0,0.18,0.27,6.87,84,1.19,69.23,0.46,80,0.92,0.18,5.41,88.14,0,0,0,0,0,0
Moufak Awad,Al Shamal,Al Shamal,LB,28,225000,10,980,13.78,48,right,165,9.55,7.07,58.44,1.93,42.86,0.92,0.18,4.5,6.5,1.93,1.38,0.09,0.09,0.11,0,0.37,50,25,0,1.1,33.33,1.47,56.25,3.49,39.47,0.64,1.47,0.28,20.85,1.93,0.46,30.12,79.88,12.49,71.32,85.37,2.76,43.33,0.04,0.28,0,0,0,0.28,2.94,62.5,1.19,38.46,0.09,0,0.28,0.37,5.33,65.52,0,0,0,0,0,0
André Amaro,Al Rayyan,Al Rayyan,RCB,23,5500000,10,978,11.69,59.84,right,188,6.63,3.77,65.85,6.26,58.82,0.18,0.92,3.96,5.92,0.74,0.28,0,0,0.04,0,0.37,25,0,0,0.18,50,0.09,100,0.37,50,0.92,0.28,0,27.33,0.18,0.55,40.12,91.28,17.21,85.03,94.57,2.67,48.28,0,0,0,0.09,0,0,2.67,68.97,0.09,0,0.09,0,0.09,0,5.43,74.58,0,0,0,0,0,0
Assim Madibo,Al Wakrah,Al Wakrah,"RDMF, RCMF, LCMF",29,300000,9,967,14.05,67.55,right,168,9.87,8.1,77.01,0.65,42.86,0.93,0.09,2.7,4.68,1.77,0.74,0,0,0,0,0.19,0,0,0,0.28,66.67,0.74,75,3.54,50,0.09,0.65,0.09,24.38,0,0.65,37.14,88.47,12.84,78.99,91.41,3.35,61.11,0.01,0.19,0,0,0,0,6.05,73.85,1.21,69.23,0.37,25,0.65,0.09,5.96,76.56,0,0,0,0,0,0
Hamdi Fathi,Al Wakrah,Al Wakrah,"LDMF, RCB, LCMF",31,2200000,10,957,14.58,56.13,right,180,6.77,5.45,58.62,2.73,58.62,0.28,0.28,3.29,5.59,1.88,1.03,0.09,0.09,0.15,0,1.6,23.53,5.882,0,0.94,20,0.75,62.5,3.29,57.14,1.6,1.13,0,27.74,0.66,1.97,39.5,83.81,15.42,74.39,88.83,5.74,65.57,0.01,0.47,0.09,0,0.19,0,7.52,67.5,1.13,25,0.66,14.29,0.09,0.19,7.9,80.95,0.47,0,0,0.66,0,0
A. Zouhzouh,Al Wakrah,Al Wakrah,"LAMF, AMF, LW",25,0,10,955,13.19,43.57,right,0,3.3,1.98,57.14,2.07,36.36,0.09,0.19,2.07,3.53,0.47,4.15,0.47,0.09,0.45,0,2.17,47.83,21.739,0.28,3.2,38.24,3.3,57.14,8.1,45.35,2.54,1.98,0.28,23.65,1.32,1.6,31.48,76.95,6.88,72.6,84.73,3.77,57.5,0.35,2.07,0,0.09,0.09,0.66,3.77,72.5,3.39,52.78,0.75,37.5,1.13,1.04,4.43,74.47,1.32,0.28,66.67,3.77,4,100
Nabil Irfan,Al Wakrah,Al Wakrah,RB,21,0,10,953,12.84,48.53,right,0,7.74,8.41,53.93,2.74,34.48,0.28,0.09,2.93,4.82,2.27,0.19,0,0,0.01,0,0.19,0,0,0.09,0.47,20,0,0,0.94,40,0.47,0.66,0,19.08,0.76,0.47,26.54,81.85,14.64,76.13,87.76,3.68,53.85,0.01,0.09,0,0,0.09,0.09,4.63,73.47,0.76,25,0.19,50,0.09,0.09,6.14,75.38,0,0,0,0,0,0
B. Bounedjah,Al Shamal,Al Shamal,CF,34,3000000,10,948,17.94,39.68,right,184,3.7,1.9,50,4.08,48.84,0.19,0.19,2.56,3.82,1.33,4.08,0.57,0.38,0.77,0,4.18,52.27,13.636,0.28,1.52,31.25,2.94,45.16,9.02,30.53,6.08,2.47,0.09,15.47,1.8,1.9,19.94,67.62,5.98,61.9,78.16,2.09,9.09,0.19,1.33,0.09,0,0.09,1.04,3.51,62.16,3.51,56.76,0.38,25,2.18,0.38,3.8,77.5,0.19,0.19,0,0.09,2,100
Tarek Salman,Al Sadd,Al Sadd,"RB, LCB",27,550000,10,947,9.6,50.5,right,179,4.75,4.66,55.1,2,66.67,0.19,0.29,2,3.26,1.62,0.38,0,0,0.01,0,0.1,0,0,0,0.19,100,0.38,50,1.62,29.41,0.29,1.14,0.1,33.17,0.76,0.38,42.39,92.83,15.21,88.75,93.69,1.52,68.75,0,0.1,0.1,0,0,0,3.8,85,0.19,100,0.1,0,0.1,0.1,5.32,76.79,0,0,0,0,0,0
Abdulla Mahmoud Mahmoud,Al Sailiya,Al Sailiya,RB,23,0,10,945,11.81,52.42,right,178,8,8,60.71,1.81,36.84,0.29,0,2.86,3.25,0.57,0,0,0,0,0,0.19,0,0,0,0.38,0,0.19,0,0.95,40,0.1,0.38,0.19,12.57,0.48,0.29,19.71,65.7,12.19,58.59,77.99,4.19,27.27,0,0,0,0,0,0,3.43,41.67,0.48,0,0.38,0,0,0,4.95,46.15,0,0,0,0,0,0
J. Veretout,Al Arabi,Al Arabi,"LDMF, LCMF",32,15000000,10,943,9.45,52.53,right,177,4.87,2.86,63.33,1.53,50,0,0.29,3.05,4.87,0.76,1.72,0.19,0.19,0.11,0,1.24,46.15,15.385,0.1,1.43,26.67,1.34,50,3.82,45,1.72,3.05,0.76,40.37,0.57,0.86,52.78,88.61,15.08,81.01,92.96,4.01,57.14,0.1,0.86,0,0.1,0.1,0.38,7.16,76,1.81,42.11,0.48,40,0.57,0.48,7.92,81.93,0.95,0.29,33.33,2.1,0,0
M. Vlap,Al Ahli,Al Ahli,"AMF, LCMF, CF",28,3000000,10,934,13.68,47.18,right,190,5.49,4.53,63.83,1.73,38.89,0.1,0,2.51,3.7,1.25,1.25,0.39,0.39,0.27,0,1.93,40,20,0.19,0.19,0,1.16,41.67,5.59,36.21,1.93,1.06,0.1,29.29,0.96,1.64,35.85,87.9,9.25,73.96,89.14,1.06,63.64,0.03,0.67,0,0,0,0.29,4.91,78.43,1.25,61.54,0.19,50,0.58,0,4.34,73.33,0.1,0,0,0.39,0,0
R. Tihi,Al Ahli,Al Ahli,"RCB, CB",23,800000,9,927,9.32,51.04,right,187,6.31,2.52,73.08,3.01,38.71,0,0.78,4.47,6.67,0.1,0,0,0,0.02,0,0.1,0,0,0,0,0,0,0,0.97,30,0.19,0.19,0,35.73,0.1,0.49,49.51,87.45,18.93,78.97,92.7,5.63,46.55,0,0,0,0,0,0,3.4,71.43,0.1,100,0.1,0,0,0,8.16,53.57,0,0,0,0,0,0
A. Saoudi,Qatar SC,Qatar SC,"LCB, RCB, CB",21,0,9,926,13.12,58.52,left,190,8.94,6.32,70.77,3.89,40,0.19,0.97,4.28,6.47,1.17,0.29,0.19,0.19,0.04,0.19,0.39,50,50,0,0,0,0.1,100,0.97,70,0.49,0.1,0,15.94,0.1,1.17,26.83,83.33,12.25,70.63,88.74,4.37,55.56,0,0,0,0,0,0,2.24,47.83,0.19,0,0,0,0,0,4.76,67.35,0.1,0,0,0,0,0
Rodri Sánchez,Al Arabi,Al Arabi,"RAMF, RW, AMF",25,3000000,10,920,21.62,55.66,left,175,4.6,4.5,71.74,0.39,25,0.1,0.1,1.27,2.04,0.39,8.61,0.1,0.1,0.21,0,2.45,36,4,0.59,5.09,48.08,8.9,57.14,15.65,53.75,3.82,3.23,0,32.28,2.15,2.35,44.22,78.98,12.42,73.23,86.88,5.87,60,0.3,1.96,0,0,0.39,1.37,8.22,69.05,6.36,58.46,1.76,44.44,2.25,2.15,9.39,91.67,0.29,0.2,50,0.1,0,0
F. Selemani,Qatar SC,Qatar SC,"LAMF, LW, LCMF",32,2000000,10,918,19.9,51.72,right,182,6.37,5.29,61.11,2.84,55.17,0.29,0,2.84,4.44,0.98,3.33,0.1,0.1,0.16,0,2.25,21.74,4.348,0.2,2.65,22.22,3.82,58.97,10.88,47.75,1.96,2.35,0.29,20.98,1.08,3.04,27.94,72.63,9.51,67.01,79.83,2.25,47.83,0.13,0.78,0,0.1,0,0.2,5,72.55,3.43,37.14,0.29,0,0.78,0.59,5.49,83.93,2.35,0.49,0,2.35,0,0
P. van Amersfoort,Al Shahaniya,Al Shahaniya,CF,29,1500000,10,899,15.02,40.67,right,195,2.7,2.5,52,6.41,40.63,0.1,0.1,1.3,1.73,1.5,1.3,0.3,0.2,0.45,0,2.5,36,12,0,0.4,50,0.8,25,3.4,32.35,4.1,0.6,0,11.21,1.6,1.3,14.02,75.71,3.4,61.76,80,1.1,36.36,0.05,0.6,0,0,0,0.2,1.9,57.89,0.8,62.5,0,0,0.8,0.2,1.4,85.71,0,0,0,0,2,50
K. van der Kaap,Al Sailiya,Al Sailiya,RCB,27,1200000,9,896,7.63,53.95,right,190,6.83,3.62,50,1.71,64.71,0.1,0.9,4.92,5.65,1.21,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1.1,45.45,0.2,0,0,12.35,0,0.6,23,84.28,9.64,70.83,91.24,3.52,45.71,0,0,0,0,0,0.1,2.41,50,0.2,0,0.4,25,0,0,4.02,60,0,0,0,0,0,0
Bassam Al Rawi,Al Duhail,Al Duhail,RB,27,650000,9,882,11.73,65.22,right,175,6.84,4.9,70.83,3.67,50,0.2,0.2,3.16,5.41,1.12,1.22,0,0,0.03,0,0.61,16.67,0,0.1,2.35,34.78,0.31,100,1.73,82.35,0.51,1.33,0,31.84,2.14,1.12,43.16,82.03,16.94,77.71,88.92,4.18,43.9,0.04,0.51,0,0.1,0,0.31,8.37,73.17,2.86,46.43,0.51,40,0.31,0.82,9.9,79.38,0,0,0,0,0,0
Abdullah Marafee,Al Arabi,Al Arabi,"RB, LB, RWB",33,200000,10,869,9.74,48.94,right,165,5.7,4.97,58.33,1.14,27.27,0.62,0.21,2.17,3.37,1.35,0.41,0,0,0,0,0,0,0,0,1.55,20,0.21,50,1.97,42.11,0.72,0.52,0.21,20.92,1.55,1.04,28.38,86.5,10.56,87.25,91.16,1.35,69.23,0.04,0.1,0,0,0.1,0.1,2.69,88.46,1.14,45.45,0.31,33.33,0.31,0.31,3.73,72.22,0,0,0,0,0,0
Saifeldeen Hassan Fadlalla,Al Gharafa,Al Gharafa,"LB, LWB, LCMF",22,175000,10,866,14.76,42.25,left,188,7.07,7.17,44.93,0.94,44.44,0.21,0.31,3.64,5.33,1.04,1.56,0,0,0.05,0,0.42,50,0,0.1,1.56,40,0.94,77.78,4.26,34.15,0.52,1.35,0.1,19.43,1.45,0.94,27.33,78.71,8.31,68.75,87.5,3.33,37.5,0.11,0.52,0,0,0,0.21,3.01,62.07,1.97,26.32,0.31,0,0.31,0.52,4.47,62.79,0,0,0,0,0,0
E. Ekpo,Umm Salal,Umm Salal,"LCB, LB",24,0,9,865,9.36,55.56,left,0,9.99,5.83,57.14,2.29,59.09,0.21,0.73,6.45,7.85,0.94,0.21,0.1,0.1,0.03,0.1,0.31,33.33,33.333,0,0,0,0.1,100,0.52,20,0.31,0,0,10.82,0.1,0.1,18.52,77.53,9.36,75.56,84.25,3.33,46.88,0,0,0,0,0,0,2.5,54.17,0.21,0,0,0,0,0,4.37,40.48,0,0,0,0,0,0
J. Castelletto,Al Duhail,Al Duhail,RCB,30,3500000,9,858,7.13,66.18,right,186,5.03,2.73,65.38,3.67,77.14,0,0.84,3.25,5.78,0.63,0.31,0,0,0.13,0,0.84,37.5,0,0,0,0,0,0,0.31,0,1.57,0,0,28.95,0.42,0,39.65,88.89,17.94,80.7,94.22,5.14,53.06,0,0,0,0,0,0,3.04,68.97,0.1,0,0,0,0.21,0,7.03,68.66,0,0,0,0,0,0
